Category,Forum Name,Title,Tags,Ravelry Link/Message,Catbox Link,Date Created
Designer A-F,aegyoknit,Nabi Slipover,,https://www.ravelry.com/patterns/library/nabi-slipover,[<Message id=1384239123048566955 channel=<Thread id=1384239123048566955 name='Nabi Slipover' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 18:32:04
Designer A-F,aegyoknit,bepeu blouse,,https://www.ravelry.com/patterns/library/bepeu-blouse,[<Message id=1384239074419802212 channel=<Thread id=1384239074419802212 name='bepeu blouse' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 18:31:53
Designer A-F,aegyoknit,bawi sweater,,https://www.ravelry.com/patterns/library/bawi-sweater,[<Message id=1384239049166032916 channel=<Thread id=1384239049166032916 name='bawi sweater' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 18:31:47
Designer A-F,aegyoknit,busan sweater,,https://www.ravelry.com/patterns/library/busan-sweater,[<Message id=1384239078035423375 channel=<Thread id=1384239078035423375 name='busan sweater' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 18:31:54
Designer A-F,aegyoknit,aegyo sweater,,https://www.ravelry.com/patterns/library/aegyo-sweater,[<Message id=1384239047446368388 channel=<Thread id=1384239047446368388 name='aegyo sweater' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 18:31:46
Designer A-F,aegyoknit,boreas sweater,,https://www.ravelry.com/patterns/library/boreas-sweater,[<Message id=1384239076554838109 channel=<Thread id=1384239076554838109 name='boreas sweater' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 18:31:53
Designer A-F,aegyoknit,Sundae Swirl Tank by Jessie Maed Designs,,https://www.ravelry.com/patterns/library/sundae-swirl-tank,[<Message id=1384076974779138129 channel=<Thread id=1384076974779138129 name='Sundae Swirl Tank by Jessie Maed Designs' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 07:47:45
Designer A-F,aegyoknit,yoreum top,,https://www.ravelry.com/patterns/library/yoreum-top,[<Message id=1384059200241401898 channel=<Thread id=1384059200241401898 name='yoreum top' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 06:37:07
Designer A-F,aegyoknit,sylvia wrap skirt,,https://www.ravelry.com/patterns/library/sylvia-wrap-skirt,[<Message id=1384059194973487186 channel=<Thread id=1384059194973487186 name='sylvia wrap skirt' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 06:37:06
Designer A-F,aegyoknit,umma sweater,,https://www.ravelry.com/patterns/library/umma-sweater,[<Message id=1384059198417141832 channel=<Thread id=1384059198417141832 name='umma sweater' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 06:37:07
